state_name,county_name,state_code,county_code,date,aqi,category
Washington,Adams,53,1,2020-01-01,3,Good
Washington,Adams,53,1,2020-01-02,6,Good
Washington,Adams,53,1,2020-01-03,7,Good
Washington,Adams,53,1,2020-01-04,6,Good
Washington,Adams,53,1,2020-01-05,5,Good
Washington,Adams,53,1,2020-01-06,3,Good
Washington,Adams,53,1,2020-01-07,4,Good
Washington,Adams,53,1,2020-01-08,7,Good
Washington,Adams,53,1,2020-01-09,9,Good
Washington,Adams,53,1,2020-01-10,10,Good
Washington,Adams,53,1,2020-01-11,6,Good
Washington,Adams,53,1,2020-01-12,3,Good
Washington,Adams,53,1,2020-01-13,10,Good
Washington,Adams,53,1,2020-01-14,15,Good
Washington,Adams,53,1,2020-01-15,14,Good
Washington,Adams,53,1,2020-01-16,16,Good
Washington,Adams,53,1,2020-01-17,27,Good
Washington,Adams,53,1,2020-01-18,8,Good
Washington,Adams,53,1,2020-01-19,8,Good
Washington,Adams,53,1,2020-01-20,14,Good
Washington,Adams,53,1,2020-01-21,17,Good
Washington,Adams,53,1,2020-01-22,8,Good
Washington,Adams,53,1,2020-01-23,6,Good
Washington,Adams,53,1,2020-01-24,11,Good
Washington,Adams,53,1,2020-01-25,12,Good
Washington,Adams,53,1,2020-01-26,12,Good
Washington,Adams,53,1,2020-01-27,8,Good
Washington,Adams,53,1,2020-01-28,10,Good
Washington,Adams,53,1,2020-01-29,10,Good
Washington,Adams,53,1,2020-01-30,16,Good
Washington,Adams,53,1,2020-01-31,8,Good
Washington,Adams,53,1,2020-02-01,4,Good
Washington,Adams,53,1,2020-02-02,12,Good
Washington,Adams,53,1,2020-02-03,12,Good
Washington,Adams,53,1,2020-02-04,13,Good
Washington,Adams,53,1,2020-02-05,16,Good
Washington,Adams,53,1,2020-02-06,22,Good
Washington,Adams,53,1,2020-02-07,10,Good
Washington,Adams,53,1,2020-02-08,5,Good
Washington,Adams,53,1,2020-02-09,9,Good
Washington,Adams,53,1,2020-02-10,11,Good
Washington,Adams,53,1,2020-02-11,10,Good
Washington,Adams,53,1,2020-02-12,8,Good
Washington,Adams,53,1,2020-02-13,12,Good
Washington,Adams,53,1,2020-02-14,7,Good
Washington,Adams,53,1,2020-02-15,7,Good
Washington,Adams,53,1,2020-02-16,5,Good
Washington,Adams,53,1,2020-02-17,7,Good
Washington,Adams,53,1,2020-02-18,15,Good
Washington,Adams,53,1,2020-02-19,12,Good
Washington,Adams,53,1,2020-02-20,14,Good
Washington,Adams,53,1,2020-02-21,19,Good
Washington,Adams,53,1,2020-02-22,30,Good
Washington,Adams,53,1,2020-02-23,13,Good
Washington,Adams,53,1,2020-02-24,9,Good
Washington,Adams,53,1,2020-02-25,16,Good
Washington,Adams,53,1,2020-02-26,18,Good
Washington,Adams,53,1,2020-02-27,16,Good
Washington,Adams,53,1,2020-02-28,11,Good
Washington,Adams,53,1,2020-02-29,5,Good
Washington,Adams,53,1,2020-03-01,8,Good
Washington,Adams,53,1,2020-03-02,9,Good
Washington,Adams,53,1,2020-03-03,8,Good
Washington,Adams,53,1,2020-03-04,7,Good
Washington,Adams,53,1,2020-03-05,12,Good
Washington,Adams,53,1,2020-03-06,17,Good
Washington,Adams,53,1,2020-03-07,12,Good
